"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Native","FlushEarly","InstrumentPropertyAccessors","Enabled","Common","Methods","CILabel","Dedicated","TestKIR","JVM","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"185245.1","181430.5","9465.63655750502","176522","225269","182621.35940716084","187868.84059283917","commonmain-plain-jar","2658.5667","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7505.6868","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249209.26","251301.5","10201.81197152981","231191","276500","246381.46199322015","252037.05800677987","commonmain-plain-win-exe","92643.7004","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188691.52","184928.5","9756.932010355196","177598","226578","185987.03642706547","191396.0035729345","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4134.3548","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7465.5148","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243560.92","240103.5","10733.294676180014","231535","285971","240585.80250359987","246536.03749640015","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37922.3467","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189074.66","185893.5","9897.572016450114","178260","231119","186331.19300627528","191818.12699372473","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4134.3548","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7465.5148","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239021.78","237189","7215.279991710334","230829","275799","237021.8064231632","241021.7535768368","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37922.3467","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185184.28","184059.5","4923.268646427691","178440","205365","183819.6195549671","186548.9404450329","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3146.3872","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7898.7235","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242821","240355","7697.406075147282","233307","262713","240687.387890953","244954.612109047","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21460.1247","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187063.16","185959","5942.5632975430835","180071","208647","185415.96549231338","188710.35450768663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3146.3872","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","7898.7235","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","False","System.Boolean[]","True","True","2026-04-13 01:57:59","92959c7ea7958ca7aadb93d205ce03e8eb8f8d36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.24","High performance","0.1","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
