"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","JVM","Reference","TestKIR","Methods","InstrumentPropertyAccessors","Native","Dedicated","Common","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155064.96","154625","6162.379956888509","141231","167269","153356.83542294052","156773.08457705946","commonmain-plain-jar","1822.5782","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6200.5209","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137769.84","137308.5","4163.868366050483","131336","157501","136615.67457341985","138924.00542658014","commonmain-plain-linux-exe","16963.321","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154697.72","153950","4692.70000189178","146397","167934","153396.96992258256","155998.47007741744","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2388.9898","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3877.7639","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137868.24","137280","4138.486924330816","129446","149842","136721.1099501259","139015.3700498741","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19246.1634","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153188.04","152358.5","4817.514538109663","144056","164993","151852.69309824205","154523.38690175797","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2388.9898","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3877.7639","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137670.6","136864.5","4732.460416298983","130745","162726","136358.82889799174","138982.37110200827","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19246.1634","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153227.94","152052.5","5387.214949739233","141405","168558","151734.6802007133","154721.1997992867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1778.7681","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","System.Boolean[]","ci-linux-large","2026-04-13 02:56:41","f406d0b61d5fbaeb09028086cde836b9276d4672","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","86","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
