"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Reference","Native","JS","Enabled","CILabel","FlushEarly","InstrumentPropertyAccessors","Methods","TestKIR","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157481.7","157238.5","7053.571381555153","146168","185850","155526.54976305144","159436.85023694858","commonmain-plain-jar","1960.8189","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6269.7315","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136576.72","135940","3644.1424289466217","128979","149335","135566.61525333783","137586.82474666217","commonmain-plain-linux-exe","16060.1322","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154549.64","154674.5","5297.183894740098","144741","165713","153081.33553596016","156017.94446403987","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2476.9443","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4171.6589","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136981.22","136899","3356.302480165837","126436","146819","136050.9004165721","137911.5395834279","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35873.9982","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154945.1","155193.5","4511.59939625017","143960","167156","153694.54844938245","156195.65155061756","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2476.9443","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4171.6589","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137014.24","137096.5","2841.8983132506946","132228","143881","136226.50597705305","137801.97402294693","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35873.9982","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153289.34","154126","5366.816232542116","137847","163928","151801.73443664628","154776.9455633537","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2666.1909","50","False","500","True","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","False","2026-04-14 02:49:54","c6fd8f75fd0b98af810aea19f0567f139da2a156","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.07","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
