"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","Methods","TestKIR","Native","Common","FlushEarly","CILabel","JVM","Reference","InstrumentPropertyAccessors","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"194896.92","179536","37901.29125140832","175865","339979","184391.2180566379","205402.62194336212","commonmain-plain-jar","2806.9975","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8570.8381","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245763.62","245597","13521.269571006886","226747","278168","242015.71528966716","249511.52471033283","commonmain-plain-win-exe","94206.5935","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180926.98","180619","2492.062439762188","176509","190995","180236.21553388392","181617.7444661161","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3055.7752","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5137.427","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230805.18","229410","3970.9382672160514","226665","245776","229704.49206844272","231905.86793155727","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26406.9711","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181926.92","181112.5","7096.357469886094","176156","228593","179959.91006443734","183893.9299355627","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3055.7752","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5137.427","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232099.84","229802","5929.951716635865","226455","256302","230456.14124419072","233743.53875580928","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26406.9711","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181575.5","181669","3880.020351566655","175766","203459","180500.01322892003","182650.98677107997","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4395.9744","50","False","500","False","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-04-15 01:49:20","e5f8c3d3b6fc3737d83a8d0686579c73a4c04337","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.56","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.18","High performance","0.48","129","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
