"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Common","Reference","Methods","FlushEarly","JVM","Native","CILabel","Enabled","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156625.48","155461","6308.950681664382","145445","171391","154876.72809080288","158374.23190919714","commonmain-plain-jar","1897.9263","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6152.0841","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137902.06","137830.5","3079.333458290436","131670","145682","137048.51231260243","138755.60768739757","commonmain-plain-linux-exe","16771.4712","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156279.76","155836.5","5410.846587953438","147143","168863","154779.94984479365","157779.57015520637","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2569.287","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3960.9172","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136376.76","136071.5","2739.2602871608105","131959","144989","135617.47578640134","137136.04421359868","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36479.9542","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155776.78","155338","5628.261040354058","145476","169027","154216.7056332144","157336.85436678558","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2569.287","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3960.9172","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138423.18","136754.5","7123.577605790105","131345","173097","136448.62502770577","140397.73497229422","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36479.9542","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154897.6","155326.5","5802.890103303732","142530","169112","153289.12092652966","156506.07907347035","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2132.6405","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-04-15 02:47:15","f75bffe01ca1a9a2a06481cdd31ffa38ddd83366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
