"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Reference","TestKIR","Native","CILabel","FlushEarly","Dedicated","JS","Methods","InstrumentPropertyAccessors","Enabled","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"136736.34","135628","3891.498974662067","132646","155203","135657.6715169261","137815.0084830739","commonmain-plain-jar","2124.0479","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5802.921","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184663.26","177799.5","14708.118568633434","174029","228387","180586.37753167644","188740.14246832358","commonmain-plain-win-exe","88773.1727","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"156536.92","156661","1852.1850399030914","152352","162146","156023.52050012274","157050.31949987728","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2798.092","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3477.9117","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200783.44","191605","19509.304324629837","180857","240857","195375.7367374023","206191.1432625977","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","18449.6449","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"151331.4","143293","16231.84100237957","138645","216148","146832.1632211816","155830.63677881839","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2798.092","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3477.9117","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193019.46","190303","8745.57159124268","184665","225854","190595.3112328121","195443.6087671879","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","18449.6449","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"150284.56","144199.5","12065.87012713538","138094","182898","146940.07143357705","153629.04856642295","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3594.7805","50","False","500","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-04-16 01:58:31","d294457db1360c372e7da4c991a08251e0f96156","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.44","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.17","High performance","0.13","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
