"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","CILabel","Methods","Reference","Common","FlushEarly","JS","TestKIR","Enabled","InstrumentPropertyAccessors","Native","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"165089.48","156836","28644.50829885661","148438","278746","157149.6273837447","173029.33261625533","commonmain-plain-jar","2111.8705","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6439.2615","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136411.64","136341.5","2855.908353014208","131379","143673","135620.02259215747","137203.25740784255","commonmain-plain-linux-exe","17037.7826","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155197.52","154880.5","5173.825108630352","145064","166845","153763.40884695758","156631.6311530424","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2477.3652","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4104.2134","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136623.52","136267.5","2781.4823110224183","131018","143764","135852.53243848123","137394.50756151875","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37268.6114","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156728.88","155211.5","6220.806423345344","146283","177080","155004.56043269264","158453.19956730737","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2477.3652","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4104.2134","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137702.5","136460","5824.871915032177","131706","172520","136087.92787918038","139317.07212081962","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37268.6114","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153548.82","153646","5210.574560703749","143350","168778","152104.52241854533","154993.1175814547","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3105.2941","50","False","500","False","ci-linux-large","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-04-16 02:54:35","16b20f9312b4d9b3c1690750bd58983edfbe4f24","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.14","145","86","0.08","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
