"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","Methods","Native","JVM","CILabel","TestKIR","Dedicated","Enabled","InstrumentPropertyAccessors","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"211147.8","212844.5","13317.798321135855","181660","253300","207456.2946426868","214839.3053573132","commonmain-plain-jar","2699.1698","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8243.3597","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242889.04","236109","23054.68267275055","221750","355689","236498.60799724568","249279.47200275434","commonmain-plain-win-exe","111689.1786","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208842.42","211624","17643.716690559693","190422","292124","203951.83124684624","213733.0087531538","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3307.7711","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5173.0517","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"273288.84","282621.5","30554.22773336025","217469","338036","264819.6401633226","281758.03983667743","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26782.1565","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191937.44","186678.5","12795.713671924577","182978","224949","188390.6491242446","195484.2308757554","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3307.7711","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5173.0517","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251111.2","248320.5","11580.549373666105","230016","282529","247901.2354831419","254321.16451685812","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26782.1565","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202189.32","194440.5","14469.665637139382","185913","246076","198178.5333121389","206200.10668786112","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3031.567","50","False","500","True","True","System.String[]","True","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-17 01:53:31","c0c7497a50a4c2f3dbe43132eea7a2f9e9873a9a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.13","136","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
