"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Methods","TestKIR","Common","InstrumentPropertyAccessors","JS","Reference","CILabel","Dedicated","FlushEarly","JVM","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"211727.04","215521.5","13125.37238027235","183155","225057","208088.87239224985","215365.20760775017","commonmain-plain-jar","2648.4594","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7941.0064","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"257422.8","252617","30893.033857793493","220865","317319","248859.68789694962","265985.9121030504","commonmain-plain-win-exe","117029.1333","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222619.86","218647.5","10319.52449072601","212640","265429","219759.43374756287","225480.2862524371","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4167.5613","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6365.6074","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248141","244105.5","17672.086451548963","226746","318715","243242.54755029877","253039.45244970123","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","33542.3707","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217280.3","217339.5","3520.3027829539706","210071","226075","216304.5218518946","218256.0781481054","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4167.5613","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6365.6074","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248595.64","243498.5","14716.787942249588","225077","287425","244516.35450391038","252674.92549608965","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","33542.3707","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218752.02","217887","5536.1118732429195","211037","238952","217217.48807918484","220286.55192081514","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2655.6257","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
