"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","CILabel","Reference","FlushEarly","Dedicated","JVM","InstrumentPropertyAccessors","JS","TestKIR","Common","Enabled","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157175.18","157396","4990.394159272188","147390","170508","155791.91331208046","158558.44668791952","commonmain-plain-jar","1930.3391","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6117.8851","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141365.16","135951","37468.95706971632","125833","400024","130979.29497783026","151751.02502216975","commonmain-plain-linux-exe","17447.5124","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155040.64","154929.5","4915.5976810183165","142933","165559","153678.10583809752","156403.1741619025","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2209.5109","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3992.9264","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136087.74","136157","3135.910171623192","129360","143945","135218.51004776172","136956.96995223826","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19161.4474","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154090.84","154070","4814.105826906287","146307","167638","152756.4379447824","155425.2420552176","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2209.5109","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3992.9264","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136660.84","136472.5","3098.4775811382474","128416","144027","135801.9858324809","137519.6941675191","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19161.4474","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154693.66","153958","4808.789552857712","145542","168601","153360.73154076713","156026.58845923288","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2142.1975","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3967.3157","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136763.12","136903.5","3877.3427448210364","126937","144717","135688.3754236438","137837.8645763562","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16713.1668","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156078.76","155111.5","6283.542577955495","146918","174981","154337.0508578353","157820.46914216471","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2142.1975","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3967.3157","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137107.94","136271.5","5093.3291242325095","129413","165616","135696.14119547658","138519.73880452343","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16713.1668","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155012.98","154139","5271.067314334441","144426","168894","153551.9146827138","156474.04531728622","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2299.0821","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3390.9151","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136482.34","136005.5","3575.528507302188","130215","147871","135491.25406209505","137473.42593790495","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15242.3039","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155570.94","155254","5534.930762651592","144491","166457","154036.73546633776","157105.14453366224","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2299.0821","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3390.9151","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136784.5","136487.5","2611.965873530854","131858","143750","136060.4999976906","137508.5000023094","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15242.3039","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155785.92","156195.5","4869.182007487585","146336","169922","154436.2516064002","157135.5883935998","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1708.8615","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2967.6553","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136914.22","136405.5","4729.742497585824","129925","162582","135603.20226662283","138225.23773337717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14509.9715","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154678.64","154736.5","5377.313477481301","144279","171541","153188.12474879881","156169.1552512012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1708.8615","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2967.6553","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137136.96","137103.5","3103.49440285808","129219","145755","136276.7152404469","137997.20475955307","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14509.9715","50","False","500","True","ci-linux-large","True","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-04-18 02:40:33","dd71c289d915503a8403a686cbc8e414e81da27a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","87","0.05","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
