"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Methods","JS","CILabel","InstrumentPropertyAccessors","Reference","TestKIR","FlushEarly","Common","Enabled","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"146461.28","146087","6347.072273939557","137558","170724","144701.96132453115","148220.59867546885","commonmain-plain-jar","1813.8179","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6229.4382","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144812.96","144438.5","3251.8058214487783","138468","157315","143911.60541260024","145714.31458739974","commonmain-plain-linux-exe","16397.7812","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144677.88","144756.5","5067.728987164462","132145","153940","143273.17719144048","146082.58280855953","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2558.5545","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4087.0698","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144923.16","144322","4187.966645872287","138855","163488","143762.3148710457","146084.0051289543","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36524.6433","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145319.24","145798","4815.705083518776","135420","155938","143984.39465346574","146654.08534653424","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2558.5545","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4087.0698","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145262.02","144115.5","4451.373864921495","138962","162355","144028.16211497082","146495.87788502916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36524.6433","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145396.78","144504.5","5087.474118833031","134586","157337","143986.60412017314","146806.95587982686","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2277.1143","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3935.8136","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145195.78","145128","3941.495408173535","137957","159734","144103.253212595","146288.306787405","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17343.3746","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145180.36","144132.5","5630.903218083983","135787","165023","143619.55325891275","146741.16674108722","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2277.1143","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3935.8136","50","False","500","True","System.String[]","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","2026-04-19 02:56:48","2246fab73b3cbde8572990083e5478db78b2fae8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.85","145","87","0.01","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
