"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Reference","Enabled","CILabel","Native","Methods","Common","JS","Dedicated","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"205145.66","199484.5","15232.559202630157","191282","260500","200923.4100044539","209367.9099955461","commonmain-plain-jar","2824.4219","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8098.496","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250188.48","235004.5","31070.837614899097","224778","340525","241576.08320994067","258800.87679005935","commonmain-plain-win-exe","104588.3737","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206883.2","205229.5","8629.6613881119","195067","235229","204491.17990194398","209275.22009805604","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3145.4769","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5152.7688","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258952.68","244594.5","41245.63676537464","234938","505642","247519.9727751478","270385.3872248522","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21950.9664","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215216.52","211182.5","12978.276515620953","193250","246578","211619.1252857346","218813.91471426538","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3145.4769","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5152.7688","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253933.02","241948.5","20760.46564545021","233089","301845","248178.51251291262","259687.52748708735","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21950.9664","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193217","189963.5","8060.698194806397","184263","216062","190982.68845297885","195451.31154702115","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2413.0559","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","False","System.Boolean[]","System.Boolean[]","2026-04-20 01:59:20","1f8763d8784b026552e4a33260769762a5ca7ef4","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.11","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
