"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Dedicated","FlushEarly","Native","Enabled","JS","Methods","Reference","JVM","InstrumentPropertyAccessors","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"111535.48","110803.5","4847.162293085533","103017","129773","110191.9151598346","112879.04484016538","commonmain-plain-jar","1467.6782","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4656.3563","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113057.14","112212.5","3389.105534936729","108950","123337","112117.72787368303","113996.55212631696","commonmain-plain-linux-exe","13859.9229","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109758.42","109603.5","3301.4505042851843","102265","118279","108843.30460858194","110673.53539141806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1877.4814","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2927.0847","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111470.64","111717","2050.9895347945426","107128","116649","110902.13470558722","112039.14529441278","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13023.22","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110354.28","110429.5","4225.467659373122","100930","121032","109183.04012043415","111525.51987956585","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1877.4814","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2927.0847","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112589.86","112372.5","2512.806025712519","107064","120855","111893.3457052096","113286.3742947904","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13023.22","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110377.76","109940.5","4479.134366807762","100762","119455","109136.20729643073","111619.31270356926","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1282.9677","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","True","System.Boolean[]","ci-linux-large","2026-04-20 02:57:51","c3d1d5f1d614fbe3aa02696c27f5db5a27a890c8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.25","145","87","0.03","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
