"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","Reference","TestKIR","JS","InstrumentPropertyAccessors","CILabel","Native","Enabled","Methods","Dedicated","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"186596.42","175654.5","32665.202736863703","172205","302305","177542.0877452847","195650.75225471533","commonmain-plain-jar","2457.8954","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7276.7185","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242649.62","243265.5","12724.501070993481","224679","299035","239122.56825015013","246176.67174984986","commonmain-plain-win-exe","106127.4951","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177565.7","176089","6824.739164485723","170893","210134","175673.9788175294","179457.42118247063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3769.098","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5990.0328","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229139.8","227816","5043.716608265158","224246","251535","227741.75308329368","230537.8469167063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29976.6689","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187759.82","178657.5","14406.765156448593","172211","225587","183766.46843586196","191753.17156413806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3769.098","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5990.0328","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252557.44","253722","20848.95651004028","226002","314616","246778.40409666614","258336.47590333386","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29976.6689","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203516.44","205580.5","13589.557545860158","178701","260608","199749.606828751","207283.273171249","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4638.5441","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.String[]","False","True","2026-04-21 01:54:58","52d10df06b3ec79401813c0d82fa024039e9e78b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.29","135","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
