"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Reference","Common","JS","JVM","InstrumentPropertyAccessors","Methods","FlushEarly","TestKIR","CILabel","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"160136.56","159692","7299.546044481822","149266","185123","158113.22906500648","162159.8909349935","commonmain-plain-jar","1920.9743","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6666.4619","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138371.64","138349.5","3318.9154102519947","132247","147864","137451.68358363272","139291.5964163673","commonmain-plain-linux-exe","17785.5723","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156930.64","157022","5619.04476506788","145554","168570","155373.12025438927","158488.15974561076","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2582.4106","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3925.6806","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138506.9","137513","4784.894225048027","133188","161774","137180.59498771362","139833.20501228637","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","23727.8865","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157653.1","157583","6703.71563205885","146126","172408","155794.9248292306","159511.27517076943","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2582.4106","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3925.6806","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137634.32","137339","2653.7376986170325","132950","144059","136898.74143850448","138369.89856149553","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","23727.8865","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157030.7","156961.5","5856.306418498519","145934","171192","155407.41467935918","158653.98532064084","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1800.2339","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3302.2502","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139039.6","138301.5","2896.4754584896195","133296","145829","138236.73796421054","139842.46203578947","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15408.8975","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159547.7","159151.5","5629.328996335139","148412","170856","157987.32961091926","161108.07038908076","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1800.2339","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3302.2502","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138398.42","137347","5896.070950788729","133384","169799","136764.1125133494","140032.72748665063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15408.8975","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157410.7","157004.5","5799.137881915672","145913","170081","155803.26098923536","159018.13901076466","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1579.1767","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3180.0318","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136623.24","136620.5","2917.3216858576825","132743","143166","135814.59968478675","137431.88031521323","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15567.1879","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156139.52","158040.5","5846.313487793057","143229","166152","154519.00457843294","157760.03542156704","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1579.1767","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3180.0318","50","False","500","True","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-04-21 02:51:08","31eb424d5c227cbff389c65ac1e3aa43299a4aca","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","87","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
