"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","FlushEarly","Native","Common","Methods","JS","Enabled","TestKIR","Dedicated","InstrumentPropertyAccessors","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"208767.9","212016.5","15288.049175811831","183817","244248","204530.26896861466","213005.53103138533","commonmain-plain-jar","2910.3616","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8264.6316","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220288.3","219808","2715.80251040281","215865","232318","219535.51795038403","221041.08204961594","commonmain-plain-win-exe","104359.1961","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218537.82","221291","15943.67922059986","184857","281906","214118.4575919719","222957.1824080281","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4519.5328","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6367.9667","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229456.38","223793.5","13996.942206723841","218546","287287","225576.62556190175","233336.13443809826","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31067.3738","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228165.52","232979","13063.070608554544","197739","265806","224544.62156231236","231786.41843768762","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4519.5328","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6367.9667","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235073.14","233074","18554.95621122314","214388","289463","229929.96853826247","240216.31146173755","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31067.3738","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212632.16","220177.5","17278.211174842403","184348","237859","207842.88420690634","217421.43579309367","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3105.6862","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
