"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","FlushEarly","CILabel","Methods","Enabled","TestKIR","Native","Reference","InstrumentPropertyAccessors","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155891.18","155973.5","5532.399146290653","145019","170298","154357.67719459147","157424.68280540852","commonmain-plain-jar","1836.9124","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6188.3892","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136929.28","136802.5","2715.195772548511","130521","142642","136176.6661295369","137681.8938704631","commonmain-plain-linux-exe","16998.0801","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153714.14","153928","4533.987621896447","143878","163166","152457.38274984254","154970.8972501575","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2266.4023","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3417.7648","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136463.26","136199.5","2930.38320827617","131594","145772","135650.99921548547","137275.52078451455","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38254.4632","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153947.96","153473.5","6119.0279305371605","142699","175258","152251.85199157053","155644.06800842946","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2266.4023","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3417.7648","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136552.12","136504.5","2513.9286405536495","130877","141537","135855.2945322514","137248.9454677486","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38254.4632","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154882.16","154497.5","6225.000940447433","140955","171971","153156.67777186987","156607.64222813013","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2173.3293","50","False","500","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","False","2026-04-22 02:50:19","a7ffa7b9f2defe1886fe0876ddc3abc5aad4dbef","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","87","0.05","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
