"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JVM","Enabled","Dedicated","Common","Native","CILabel","JS","FlushEarly","InstrumentPropertyAccessors","Reference","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"187074.1","185910","5941.034693948005","179449","212761","185427.32919961278","188720.87080038723","commonmain-plain-jar","2743.5194","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7952.1515","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223168.22","222291.5","4298.210815667186","218353","242069","221976.81674622677","224359.62325377323","commonmain-plain-win-exe","87046.9607","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189390.64","187843","7119.735373321289","180129","221379","187417.15004021017","191364.12995978986","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2999.6184","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4878.3127","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227413.14","226151","5668.271197442401","221731","249294","225841.97538348418","228984.30461651584","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","53619.7981","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192467.34","190895","6215.261294883221","183410","211146","190744.55746388438","194190.1225361156","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2999.6184","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4878.3127","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226718.04","224918","5922.332500228716","219220","247156","225076.45318322955","228359.62681677047","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","53619.7981","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193407.66","191561.5","6733.374350750665","184616","213170","191541.26385183612","195274.0561481639","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3427.4041","50","False","500","System.String[]","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-23 01:57:31","0786d378a7ea9038e2b323d179986e9a6d1b777a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
