"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Native","JS","InstrumentPropertyAccessors","FlushEarly","CILabel","Enabled","Reference","TestKIR","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"146032.62","145061.5","6200.984269765369","134612","160657","144313.79485334456","147751.44514665543","commonmain-plain-jar","1812.4743","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6031.1396","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145536.02","144300.5","4992.3992902272175","138821","159394","144152.19751813586","146919.84248186412","commonmain-plain-linux-exe","16154.0623","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143085.98","142959","4794.386656054673","133783","152767","141757.0438200784","144414.91617992162","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1951.8471","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3812.7674","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145512.5","145582","3497.3867985064717","138229","158803","144543.07383871076","146481.92616128924","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15920.7849","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143085.3","143485","4466.863531172901","132688","152341","141847.14859853731","144323.45140146266","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1951.8471","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3812.7674","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146214.52","144962.5","4197.254842617678","139650","161903","145051.10031425944","147377.93968574054","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15920.7849","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144786.32","144688.5","4505.117332681191","135744","154298","143537.56518573588","146035.07481426414","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1541.7593","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","False","2026-04-23 02:52:52","b2082e693adc0a3ee98b008364de4e3c9ee617ce","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.89","145","86","0.32","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
