"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Common","Enabled","TestKIR","Reference","JVM","JS","Methods","CILabel","FlushEarly","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"249173.72","210330.5","76922.6247899346","189103","473138","227851.85623067257","270495.58376932744","commonmain-plain-jar","2682.2793","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9843.5389","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239516.52","228340","22332.361102623232","222943","295695","233326.30532157593","245706.73467842405","commonmain-plain-win-exe","98742.8732","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204473.6","196816","16647.174533811547","189650","268927","199859.23863982197","209087.96136017804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3597.4761","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5709.2009","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236473.28","225164.5","20282.45733918645","220841","292378","230851.2696555231","242095.2903444769","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26811.1626","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187879.88","186831","5667.782335054074","182501","221216","186308.85088922482","189450.9091107752","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3597.4761","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5709.2009","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221841.76","219618.5","7759.095717246166","216752","259117","219691.04839456422","223992.4716054358","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26811.1626","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209385.98","216026","17703.367755812764","184126","249891","204478.85681513","214293.10318487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3762.9472","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","2026-04-24 01:57:55","442e16c2feb3d25335fa3569b5f27a4f29b7c294","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.55","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.25","High performance","0.09","141","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
