"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Native","JS","Enabled","Dedicated","JVM","Common","CILabel","InstrumentPropertyAccessors","TestKIR","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144235.32","144335","5773.878671735177","134080","166264","142634.88248508735","145835.75751491266","commonmain-plain-jar","1803.859","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5805.2563","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120050.72","119826.5","2947.606362277497","115084","129320","119233.68520076227","120867.75479923774","commonmain-plain-linux-exe","15195.0072","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142588.48","142473","5488.062020831195","131496","152851","141067.2668187632","144109.69318123683","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2500.6014","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3539.92","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121251.94","121320","2051.852974503678","117275","126867","120683.19537231042","121820.68462768958","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19773.6663","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142273.26","142290","6135.581764110199","128308","155209","140572.5635030047","143973.95649699532","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2500.6014","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3539.92","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121752.24","121442.5","2961.230477559032","116357","130994","120931.4287886754","122573.05121132461","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19773.6663","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142816.96","142145.5","4634.570569719948","130092","153577","141532.32257912724","144101.59742087274","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2134.7194","50","False","500","System.Boolean[]","True","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.String[]","2026-04-24 02:53:36","1733bbeeceef01b5f14c904809e61e4c596b18cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.95","145","86","0.02","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
