"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","Native","JS","JVM","TestKIR","Dedicated","CILabel","InstrumentPropertyAccessors","Reference","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"176644.52","175686","4557.3709716306","172035","196179","175381.2812159783","177907.7587840217","commonmain-plain-jar","2966.4524","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7796.2782","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227399.6","226030.5","4867.26645824021","222768","249991","226050.4625695623","228748.7374304377","commonmain-plain-win-exe","98466.0367","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176691.12","176428.5","2651.05707557555","171542","190995","175956.2844693028","177425.9555306972","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3077.7613","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4785.2063","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228387.36","227237","4272.779417356782","222962","243520","227203.00597019328","229571.7140298067","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25951.2939","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"175770.56","175228.5","2975.8341047134177","171774","190964","174945.70086974942","176595.41913025058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3077.7613","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4785.2063","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230077.74","227346.5","9789.372427426446","224072","289545","227364.2644022184","232791.2155977816","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25951.2939","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177841.72","177010.5","5600.063855466839","172586","208316","176289.46149410692","179393.9785058931","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2670.4329","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4461.9706","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-04-25 01:48:04","0aec6f5c181c13a16df2b590d740d00152b5fb77","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.94","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.4","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
