"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JVM","Native","InstrumentPropertyAccessors","Reference","Methods","FlushEarly","Common","TestKIR","CILabel","Enabled","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156188.48","155937","5522.665898100375","147344","171753","154657.67511334442","157719.2848866556","commonmain-plain-jar","1924.8119","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6115.0195","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138033.8","137890","3806.9564039038446","130590","148681","136978.56552195825","139089.03447804172","commonmain-plain-linux-exe","16751.892","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154154.8","153986","5417.806815850631","144012","168584","152653.06056805048","155656.5394319495","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2388.1516","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3976.0185","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137782.74","137748.5","3178.2740266004853","132062","147677","136901.7673862621","138663.71261373788","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37839.461","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155572.26","155207","5355.003823661434","146142","165200","154087.92866933957","157056.59133066045","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2388.1516","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3976.0185","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137246.92","137682.5","2915.7174833047493","131933","144405","136438.72434704818","138055.11565295185","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37839.461","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156043.98","155851","6497.0309026979585","142956","174726","154243.0949133205","157844.86508667952","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2092.1651","50","False","500","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-04-25 02:42:54","af91b2028241ff49c82bd70520861a613b934d01","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.19","153","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
