"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Dedicated","Enabled","Methods","FlushEarly","Reference","Common","Native","InstrumentPropertyAccessors","CILabel","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"140223.56","138186","10216.018556628986","135888","206733","137391.82412873697","143055.29587126302","commonmain-plain-jar","2205.9719","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5589.5134","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193978.92","189451","15297.291117857756","174844","247217","189738.727232977","198219.11276702303","commonmain-plain-win-exe","107445.9571","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"154218.5","155036.5","8998.30767138908","134012","169114","151724.29636553227","156712.70363446773","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2370.8987","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3944.6876","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182805.12","179011.5","8541.975235510909","175506","214561","180437.40526340713","185172.83473659286","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31017.871","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"148613.82","144342","9041.992302787781","137561","173162","146107.5076034868","151120.13239651322","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2370.8987","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3944.6876","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193190.86","191189","12611.073007820209","174687","230200","189695.24890518762","196686.47109481235","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31017.871","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137886.04","137634","2387.3634672789053","134352","149288","137224.296608427","138547.78339157303","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4712.0617","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
