"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","FlushEarly","InstrumentPropertyAccessors","Dedicated","Common","Native","Methods","TestKIR","CILabel","JS","Reference","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157501.24","157407.5","7071.904909093823","144581","184587","155541.00796848634","159461.47203151364","commonmain-plain-jar","1883.1479","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6457.5122","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136688.56","136684.5","3236.023247059608","126792","146165","135791.58011902732","137585.53988097268","commonmain-plain-linux-exe","16727.4245","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153136","151939.5","4178.089090598666","146284","161629","151977.89278968138","154294.10721031862","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2931.3892","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4450.351","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137962.84","137657","3693.5747374629486","130730","148359","136939.0333164777","138986.6466835223","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37741.1152","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152353.5","152394.5","4610.392347950532","141253","164157","151075.56444027877","153631.43555972123","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2931.3892","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4450.351","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137231.5","137011","3190.771285748821","130444","150099","136347.0633227596","138115.9366772404","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37741.1152","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154974.88","154472.5","6328.803851391489","143512","171004","153220.62507291356","156729.13492708644","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2136.5019","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-04-26 03:19:45","bfa32baadb8ba4f3572e03ab0b3a352dbbabcba4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","86","0.04","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
