"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","TestKIR","FlushEarly","CILabel","Native","JVM","Enabled","InstrumentPropertyAccessors","Methods","JS","Common","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"208592","209191","23210.51936831528","174529","339854","202158.3722690426","215025.6277309574","commonmain-plain-jar","2706.1614","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7831.6309","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"267621.5","266660","16509.046197062224","236694","303168","263045.425861389","272197.574138611","commonmain-plain-win-exe","113985.3297","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189850.58","184036.5","12846.680476643747","178521","226420","186289.66184673752","193411.49815326245","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3012.8403","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4916.2678","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"265119.88","261282.5","16363.367843111628","235575","317354","260584.18584095367","269655.57415904634","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27086.213","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186681.52","181006","12526.047628580587","175871","221920","183209.47673790308","190153.5632620969","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3012.8403","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4916.2678","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"289691.84","287405","29504.277761348018","247958","358014","281513.67144740827","297870.0085525918","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27086.213","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207408.04","207690.5","20552.111995309755","184230","279643","201711.28519824115","213104.79480175886","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2659.3091","50","False","500","False","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","2026-04-27 02:03:25","3e7f7e2a7d5c112f1de6cfd2e0cc1c47a59e8301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","142","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
