"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Enabled","Native","InstrumentPropertyAccessors","Methods","CILabel","JVM","Common","FlushEarly","Reference","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"126061.22","117126","20962.666266279884","108269","189753","120250.6653602943","131871.7746397057","commonmain-plain-jar","1641.9884","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4716.5386","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113069.8","113108","2157.254604484929","109230","117153","112471.83953104574","113667.76046895426","commonmain-plain-linux-exe","13586.4933","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109776.72","109909.5","3887.3297274344914","101922","117270","108699.20717329702","110854.23282670298","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1772.9435","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2903.966","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113058.2","112726.5","2138.9005377071844","109071","119566","112465.32701879744","113651.07298120255","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13933.4355","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111405.8","111044.5","4188.06665736478","102834","123906","110244.92714927431","112566.67285072569","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1772.9435","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2903.966","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112462.68","112028.5","3397.8465956171326","106859","127318","111520.84497527653","113404.51502472346","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13933.4355","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110391.34","109564.5","4180.778501910955","101635","120840","109232.48732289865","111550.19267710134","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2551.4589","50","False","500","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-linux-large","True","True","System.Boolean[]","True","False","2026-04-27 03:24:38","ab2c72749d67c11e514ca7bf305e87d02702a10e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.3","145","86","0.03","172","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
