"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Methods","JS","CILabel","InstrumentPropertyAccessors","Enabled","Common","JVM","Dedicated","TestKIR","FlushEarly","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"203181.94","187686","35088.64870954184","182602","321030","193455.86279348566","212908.01720651434","commonmain-plain-jar","3023.5073","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8815.6697","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230914.24","223423","15776.16490159915","218710","297001","226541.3101922491","235287.16980775088","commonmain-plain-win-exe","106282.3747","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222176.64","219233","9725.354040583501","209152","257262","219480.90939371768","224872.37060628235","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3079.3709","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4847.6682","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237984.78","238179","14977.09453212076","220813","266544","233833.34119839527","242136.21880160473","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25248.2667","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210610.92","216717","14838.0869962322","190856","254523","206498.0121215303","214723.82787846972","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3079.3709","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4847.6682","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248976.32","246993","15534.583183047445","218008","301497","244670.3532282374","253282.28677176262","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25248.2667","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202296.84","192637.5","14624.19327251376","182265","224125","198243.22043690816","206350.45956309183","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3536.5524","50","False","500","True","System.String[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-04-28 02:10:42","896f7bd73419db477ecdc65f7e041fc65d938896","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.88","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.38","High performance","0.22","143","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
