"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","Methods","JVM","CILabel","FlushEarly","InstrumentPropertyAccessors","Reference","Enabled","TestKIR","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153328.56","153458.5","5871.4458573259635","141195","166995","151701.07824101474","154956.04175898526","commonmain-plain-jar","1957.5207","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6470.7749","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136581.06","137185.5","2792.3378575330466","130897","142473","135807.0634345052","137355.0565654948","commonmain-plain-linux-exe","16770.2296","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154566.18","154174.5","5800.461556898832","145565","179637","152958.37408524915","156173.98591475084","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2612.1779","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3668.2867","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137181.88","136585","3681.8294844619104","130488","146558","136161.32893451085","138202.43106548916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37208.1926","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153388.7","152606.5","5183.769400144797","142540","165286","151951.83242997972","154825.5675700203","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2612.1779","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3668.2867","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137676.42","137476","3042.9224143904817","130547","146692","136832.9649390547","138519.8750609453","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37208.1926","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154228.84","155318","5548.540357276544","143978","165383","152690.86307917154","155766.81692082845","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2681.8611","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4069.2154","50","False","500","True","True","System.String[]","True","ci-linux-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","2026-04-28 03:30:54","4de0e12ef310409b5dc947171222010aaa990e4c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.05","145","86","0.04","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
