"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","TestKIR","Common","FlushEarly","InstrumentPropertyAccessors","Native","Reference","CILabel","JVM","JS","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"215732.16","218390.5","14239.479478218725","183537","251364","211785.17766015086","219679.14233984915","commonmain-plain-jar","2747.702","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8694.4338","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235146.5","226179.5","16113.468891721914","221585","276756","230680.07429626418","239612.92570373582","commonmain-plain-win-exe","124335.489","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200018.02","194510","12974.098199937933","183497","249339","196421.78345575312","203614.25654424686","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3557.1477","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4840.0747","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247686.24","246474","10963.864190240629","230031","272642","244647.21189496442","250725.26810503556","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27741.4998","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189080.36","185097.5","12393.606824191782","181350","244239","185645.0274559316","192515.69254406838","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3557.1477","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4840.0747","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"275846.14","278395","27369.645173044668","228874","332536","268259.66141339246","283432.61858660757","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27741.4998","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216389.4","219599.5","18938.892040303883","189596","264157","211139.80695597533","221638.99304402465","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2831.0664","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
