"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Enabled","JVM","CILabel","InstrumentPropertyAccessors","Dedicated","TestKIR","FlushEarly","Native","Reference","Common","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143742.94","143230.5","6199.662368719964","132872","169647","142024.48126562033","145461.39873437968","commonmain-plain-jar","1733.7457","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6237.6379","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120794.04","119829.5","3591.5556061178754","114713","133302","119798.51157695494","121789.56842304504","commonmain-plain-linux-exe","16106.3118","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143420.04","142949","5448.154122756268","132375","152987","141909.88872374105","144930.19127625896","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2587.1741","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4363.8402","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122444.12","121818","3150.317629855693","116436","132942","121570.8965040867","123317.34349591329","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","33868.4506","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142555.88","142649.5","5813.335610824618","130700","153827","140944.5055795629","144167.25442043712","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2587.1741","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4363.8402","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122093.8","121354.5","2983.470948066896","117329","129427","121266.82404477034","122920.77595522966","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","33868.4506","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142928.42","141470.5","5453.66352842055","134497","163370","141416.7415944037","144440.09840559633","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2825.6307","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
