"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","JVM","Reference","Common","TestKIR","CILabel","Methods","Enabled","InstrumentPropertyAccessors","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"148586.7","144605.5","12657.126528931747","131374","193135","145078.32352041404","152095.076479586","commonmain-plain-jar","1707.7993","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5842.0191","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120217.22","119444","3546.0103553723807","115719","130868","119234.31607637092","121200.12392362909","commonmain-plain-linux-exe","14470.6879","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139549.1","139198.5","5183.462640839576","128947","149562","138112.317459321","140985.882540679","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2130.2434","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3226.7593","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120486.8","120233","3666.25010002296","115478","131124","119470.56731955719","121503.03268044282","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14631.1357","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138106","137787.5","4924.684222757593","128542","150183","136740.9471772272","139471.0528227728","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2130.2434","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3226.7593","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119851.52","119954.5","2999.320707039091","113186","127643","119020.15071572698","120682.88928427303","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14631.1357","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139200.5","138716.5","5217.250445808186","130040","150578","137754.35195760324","140646.64804239676","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1575.3777","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
