"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","FlushEarly","CILabel","InstrumentPropertyAccessors","Dedicated","Enabled","JVM","JS","TestKIR","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"208696.8","212893.5","19562.208318227116","181843","279231","203274.43249853348","214119.1675014665","commonmain-plain-jar","3645.2899","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10946.9268","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254304.04","240610","31916.83389428065","222116","319090","245457.145005185","263150.934994815","commonmain-plain-win-exe","109777.9445","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226286.2","227671","10740.752358400683","197718","256115","223309.01533955315","229263.38466044687","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3391.1224","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4507.1719","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220583.98","219443","3882.210381802025","217566","238811","219507.88618350972","221660.0738164903","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26627.6016","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208138.22","214620.5","18276.82848977059","180113","236763","203072.1416094295","213204.2983905705","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3391.1224","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4507.1719","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235892.7","232414","14577.382492640256","219079","268032","231852.0557231016","239933.34427689842","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26627.6016","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203224.02","195717","13669.47311808771","187303","228178","199435.03536227756","207013.00463772242","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4666.9509","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","2026-05-01 02:16:16","573bf174deb1465955f5fe1cdc5189ccf9bb8e59","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.61","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.36","High performance","0.29","144","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
