"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","FlushEarly","Reference","JVM","Common","CILabel","Native","Methods","TestKIR","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153103.72","153510.5","6503.469347406279","141120","164781","151301.0502674984","154906.38973250162","commonmain-plain-jar","1764.4806","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6041.0621","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131117.74","131456","3719.5457195189633","124193","138850","130086.73452752753","132148.74547247245","commonmain-plain-linux-exe","15790.8328","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150795.32","149950.5","4836.81632279004","141762","167531","149454.62291649016","152136.01708350985","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2362.0734","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3734.5356","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132587.52","132927.5","3654.047603322504","124409","143008","131574.66967907757","133600.3703209224","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35800.8606","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153402.7","153528.5","5342.511880555583","140755","163846","151921.83125931027","154883.56874068975","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2362.0734","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3734.5356","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132290.28","132698","3202.3000792478865","123687","139508","131402.6477042393","133177.9122957607","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35800.8606","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153009.74","152002","5205.97168412568","143859","164157","151566.71827083992","154452.76172916006","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2090.6937","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","True","ci-linux-large","True","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-05-01 03:39:34","a6d362373949d61b9b3bb53b95e53bd52d6e2128","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.75","145","86","0.02","164","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
