"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JVM","TestKIR","InstrumentPropertyAccessors","Native","FlushEarly","JS","Reference","Enabled","Common","Methods","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"179546.08","177261.5","11333.156418299035","172533","249760","176404.68931179418","182687.4706882058","commonmain-plain-jar","3939.7681","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10896.1602","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"265667.9","262435","23288.607897556318","236222","391182","259212.62723304742","272123.17276695266","commonmain-plain-win-exe","98695.7373","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216886.96","220234","28416.332463782954","178871","262700","209010.35449841578","224763.5655015842","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3003.119","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4589.1544","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"293456.66","295283.5","12884.496123303721","264575","322091","289885.25988426374","297028.0601157362","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27972.1734","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223467.2","226776","24522.52660851459","186412","264630","216669.9024161704","230264.49758382962","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3003.119","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4589.1544","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"281302.84","271570.5","38359.298819090065","230154","374864","270670.18483591644","291935.4951640836","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27972.1734","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190830.68","182679.5","15229.579321296875","173100","227857","186609.25598541868","195052.1040145813","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2277.0676","50","False","500","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","2026-05-02 02:02:19","7f79a0d6b58ef296332ff1115c1df97b46fb90ec","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.39","High performance","0.19","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
