"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","Reference","Native","InstrumentPropertyAccessors","Methods","Enabled","FlushEarly","JVM","TestKIR","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"147990.58","147105","6324.911512134105","135092","160988","146237.4039743111","149743.75602568887","commonmain-plain-jar","1842.6827","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5948.8943","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125193.98","124329.5","4254.248438338086","117459","142058","124014.76249551635","126373.19750448364","commonmain-plain-linux-exe","15239.8875","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146963.28","147158.5","4874.11174551375","137478","159072","145612.2451527346","148314.3148472654","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2892.1926","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4503.5865","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125921.3","125361","2903.474760295579","120810","134406","125116.49785673247","126726.10214326753","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21190.3352","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146606.46","147567.5","5553.345486299594","130921","158724","145067.1511653594","148145.7688346406","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2892.1926","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4503.5865","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125593.38","125001","3282.4176996070864","121154","138205","124683.54023288107","126503.21976711894","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21190.3352","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146590","146583.5","4450.121548443185","136778","158379","145356.48923938864","147823.51076061136","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2423.031","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4510.998","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124677.52","124073.5","3897.791914111666","117861","142139","123597.10720310401","125757.932796896","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","22214.2981","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145655.64","145352","5956.196580410169","132600","161616","144004.66653910145","147306.61346089857","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2423.031","50","False","500","False","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-02 02:56:09","338d7bb1aeeba601fc87873be08fdc10ee434a09","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.06","145","86","0.02","165","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
