"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","TestKIR","Native","Dedicated","Enabled","Reference","JVM","InstrumentPropertyAccessors","Methods","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191451.04","189249","7445.555129205668","184267","228889","189387.23741154865","193514.84258845137","commonmain-plain-jar","2700.1607","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8364.6407","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225503.54","223872","7124.75537771262","219883","265227","223528.65856598466","227478.42143401536","commonmain-plain-win-exe","92135.6995","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192345.78","190449","6883.068891038031","184677","227608","190437.89064221494","194253.66935778505","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3491.9518","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4350.8748","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224109.78","222228.5","5546.678231121023","219166","245698","222572.3192342081","225647.2407657919","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23649.5609","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192066.36","191059.5","5147.184269925784","186508","216186","190639.63331069774","193493.08668930223","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3491.9518","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4350.8748","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224506.66","222317","6641.387501363349","219157","261426","222665.76130562898","226347.55869437102","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23649.5609","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193873.6","191301","7997.209245373396","186459","220275","191656.88669191525","196090.31330808476","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2351.1273","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","2026-05-03 02:07:32","549d49f0f9fe18def7471dba282067764efafd04","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.6","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.15","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
