"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","Common","Reference","InstrumentPropertyAccessors","Enabled","TestKIR","JVM","Dedicated","Methods","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154362.46","153428.5","6331.851453161069","142301","172557","152607.36032080153","156117.55967919846","commonmain-plain-jar","1898.1075","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6261.654","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138022.84","137491.5","3755.9673846142114","132013","149350","136981.73895703012","139063.94104296988","commonmain-plain-linux-exe","16431.1893","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153287.5","153470.5","5772.257671175897","142649","165102","151687.51180351854","154887.48819648146","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2706.522","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3664.6613","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136615.48","136336.5","3289.575242353037","130721","150020","135703.65626325225","137527.30373674777","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36559.259","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152442.54","151548","5047.852286116243","139652","162473","151043.34673187922","153841.7332681208","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2706.522","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3664.6613","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136478.38","135949","3444.750095435081","131391","144953","135523.54398842575","137433.21601157426","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36559.259","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152306.84","152294.5","4257.792943461173","142728","162275","151126.64000882182","153487.03999117817","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2447.5667","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3918.4552","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138893.82","136621.5","11532.112372989837","130864","212874","135697.28153474422","142090.3584652558","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15536.6377","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152150.84","152514.5","4788.3847532655645","142526","163893","150823.56746265397","153478.11253734602","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2447.5667","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","System.String[]","True","True","2026-05-03 03:32:26","c008aea4acca5abd6c6713446b68f5b98a42c77f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.65","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
