"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","FlushEarly","JS","JVM","InstrumentPropertyAccessors","Methods","Native","CILabel","Reference","Enabled","TestKIR","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"217613.98","211737.5","39408.688730905356","182015","340031","206690.44879259713","228537.5112074029","commonmain-plain-jar","2593.502","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9212.2147","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225285.72","223481","7801.4950478241335","220158","271496","223123.2558997298","227448.1841002702","commonmain-plain-win-exe","103870.206","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190826.16","190088","2732.8597667077242","184171","198073","190068.6499201562","191583.6700798438","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2794.0897","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5790.9873","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222803.42","222286.5","3270.3920509533373","218617","233871","221896.9135726239","223709.92642737614","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","72067.4717","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195428.96","193333.5","7494.912837875231","186871","219889","193351.47615271102","197506.44384728896","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2794.0897","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5790.9873","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225106","222548","5985.63501822727","219429","244328","223446.8666204503","226765.1333795497","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","72067.4717","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196164.32","195105.5","7606.537146750678","189344","243419","194055.89547285662","198272.7445271434","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3801.2652","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5207.4779","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
