"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","TestKIR","JS","Common","Dedicated","Methods","InstrumentPropertyAccessors","FlushEarly","CILabel","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"223779.8","212598.5","40961.98307938617","174643","316751","212425.71756553723","235133.88243446275","commonmain-plain-jar","2560.8262","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7433.0302","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243917.36","237237","14671.608846798954","227780","273689","239850.59751025666","247984.1224897433","commonmain-plain-win-exe","98960.2183","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199255.64","198635","14108.414941213967","177580","228209","195344.98689632342","203166.2931036766","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3216.9489","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4384.8106","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259405.94","254584","18022.557068353006","232662","312642","254410.34205159725","264401.53794840275","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23902.0159","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197151.24","206438","16986.43574168903","174985","219865","192442.84023075397","201859.63976924602","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3216.9489","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4384.8106","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"295834.28","304825","32227.338807507476","233356","353868","286901.31743432913","304767.2425656709","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23902.0159","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212851.8","212219","4762.08229192882","206052","232129","211531.818132973","214171.78186702696","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3038.0485","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","True","2026-05-05 02:06:44","d9dbce8ed5b14b09e10695c1a048b1c15fc06f33","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.42","High performance","0.35","133","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
