"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","CILabel","Common","FlushEarly","JS","Reference","Methods","Enabled","Dedicated","InstrumentPropertyAccessors","TestKIR","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"187448.74","185986.5","7268.900604097216","180718","232269","185433.90354770017","189463.5764522998","commonmain-plain-jar","2928.5027","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8337.6128","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223356.32","221176.5","5818.515384809539","218263","246468","221743.5098194655","224969.13018053453","commonmain-plain-win-exe","98690.2433","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186768.02","186348","2415.3021232406127","182485","193010","186098.53240809657","187437.5075919034","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3846.4521","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5412.2505","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218776.86","218142","3076.539787103793","215130","233042","217924.08667874787","219629.6333212521","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25337.5947","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184738.38","184522","2587.445370733576","179057","192260","184021.1767343026","185455.5832656974","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3846.4521","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5412.2505","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223491.06","220918","9675.957988557338","217560","271830","220809.02128079146","226173.09871920853","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25337.5947","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189008.9","189140","3595.5974114043916","183909","204857","188012.25124568783","190005.54875431216","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3888.6914","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
