"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Dedicated","Native","JS","Methods","FlushEarly","JVM","Enabled","InstrumentPropertyAccessors","CILabel","TestKIR","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"164875.36","161691","15693.216441377414","145653","244263","160525.42233238413","169225.29766761584","commonmain-plain-jar","1934.1841","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6169.6561","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141237.42","136892","28769.37069111622","132148","339525","133262.95729438617","149211.88270561385","commonmain-plain-linux-exe","16959.1864","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156282.42","154799.5","6186.094627336971","146371","174694","154567.72205165977","157997.11794834025","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2702.6914","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4483.3167","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137086.58","137578","2936.874175384573","131793","143931","136272.52001119682","137900.63998880316","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37591.5373","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154062.8","154549","5442.454803277128","142362","166726","152554.22849450217","155571.3715054978","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2702.6914","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4483.3167","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138323.6","138383.5","4104.86262167897","133052","155637","137185.79013131367","139461.40986868634","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37591.5373","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155710.92","155030","5826.165935130364","142959","171057","154095.9891951089","157325.85080489112","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2242.5522","50","False","500","True","False","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","2026-05-06 03:27:50","ce4cdbf6330a2990de06531f2b8feb8b513ee544","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
