"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","FlushEarly","Common","Reference","Methods","TestKIR","JVM","Native","Dedicated","JS","CILabel","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154774","154946","6910.717949057723","141749","173855","152858.44671433864","156689.55328566136","commonmain-plain-jar","1943.6256","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6633.4899","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141552.78","137615","28095.203731343805","130310","334900","133765.1868417177","149340.3731582823","commonmain-plain-linux-exe","17303.9176","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154070.18","153891.5","5740.029875091138","142581","165639","152479.12489283498","155661.235107165","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2522.0199","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3847.5415","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136573.7","136358.5","3068.0859502235567","132066","146626","135723.26996277884","137424.13003722118","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16422.6472","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155714.54","155308","6261.5888353728005","142920","171782","153978.91612481434","157450.16387518568","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2522.0199","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3847.5415","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136918.58","136890","3037.43490794453","131384","144198","136076.6459982384","137760.51400176156","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16422.6472","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156333.96","156299.5","4196.966951288047","143825","164108","155170.6201136647","157497.29988633527","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1724.268","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
