"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","TestKIR","Dedicated","Common","Methods","Enabled","InstrumentPropertyAccessors","Reference","Native","JVM","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"203257.84","202968.5","24558.139877009737","174955","299235","196450.67092177834","210065.00907822166","commonmain-plain-jar","3459.5494","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8299.4979","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"267616.92","273911","26138.075238569934","229039","318429","260371.81518264406","274862.0248173559","commonmain-plain-win-exe","120616.7912","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198874.34","194197","15237.574119436013","180731","237756","194650.69994043515","203097.98005956484","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3776.0558","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4656.1441","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253345.94","253003.5","14406.240796761856","224861","279260","249352.73378095173","257339.14621904827","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25607.7413","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183773.1","179523","12005.74947851305","176048","223560","180445.2760271625","187100.9239728375","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3776.0558","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4656.1441","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259450.48","257273","15556.357503776586","233819","304783","255138.47769445882","263762.4823055412","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25607.7413","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192149.78","187074.5","12470.489894784341","180328","232719","188693.13655602644","195606.42344397356","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4833.9842","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
