"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","InstrumentPropertyAccessors","JS","Common","Methods","JVM","TestKIR","Native","CILabel","FlushEarly","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"189059.3","183348.5","20959.79986102648","177247","311037","183249.53988729446","194869.0601127055","commonmain-plain-jar","2858.8632","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8839.8561","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227158.04","226052.5","3256.279672339247","223223","236014","226255.44532440163","228060.63467559838","commonmain-plain-win-exe","87493.1736","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184078.26","184033","3479.9240773444517","177897","199326","183113.674258063","185042.84574193702","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4950.4704","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4710.4943","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222603.2","221551","5503.658701449503","216753","250342","221077.66363946054","224128.73636053948","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28369.5947","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184577.38","184333","4131.54351198539","177849","199761","183432.17456583589","185722.58543416412","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4950.4704","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4710.4943","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222624.98","221943","4096.7101907929655","217717","242510","221489.42986986545","223760.53013013458","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28369.5947","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182887.12","182749","2721.9683277258864","178536","195232","182132.62887301767","183641.61112698232","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3243.4675","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4800.8391","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224190.18","223570.5","4529.45711794088","218058","243505","222934.67854146965","225445.68145853034","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24858.7718","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185560.84","184739.5","3969.8300295697127","179483","205016","184460.45925624584","186661.22074375415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3243.4675","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4800.8391","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238686.06","239839.5","9837.784588441213","220860","261544","235959.165235819","241412.954764181","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24858.7718","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.Boolean[]","2026-05-07 02:07:53","17a0fdb7dcaaded77fac618a283c78f35e6c3d4e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","1.36","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
