"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Methods","InstrumentPropertyAccessors","Native","Dedicated","JVM","Common","JS","CILabel","Enabled","Reference","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191820.58","190174","6321.344739040573","184574","217441","190068.39263337213","193572.76736662784","commonmain-plain-jar","2795.0035","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8288.87","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240595.26","240156.5","8784.166608885163","220855","278650","238160.41323972368","243030.10676027634","commonmain-plain-win-exe","102587.5642","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195550.58","193930","6637.108864958155","185979","228121","193710.86728313297","197390.292716867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3418.2412","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5447.5943","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226076.12","221847.5","14872.179015839733","218774","296515","221953.76229581673","230198.47770418326","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24591.3948","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193595.06","193246.5","3334.559270269277","186845","201698","192670.76732686785","194519.35267313215","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3418.2412","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5447.5943","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223774.68","220731","12731.546669175264","217634","308720","220245.67530997138","227303.6846900286","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24591.3948","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194655.96","194158","3322.440767181346","189162","207854","193735.0264045467","195576.8935954533","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2319.2876","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
