"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Enabled","Reference","JVM","Methods","TestKIR","FlushEarly","Native","InstrumentPropertyAccessors","Dedicated","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155543.48","154437","9207.662062807103","145439","210647","152991.2462888739","158095.71371112613","commonmain-plain-jar","1792.9305","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5848.8045","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136385.12","136579","2674.0329141808347","130181","144142","135643.91589176055","137126.32410823944","commonmain-plain-linux-exe","16254.6489","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154184.9","153671","5573.910902131282","142395","167975","152639.89072292234","155729.90927707765","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2317.3723","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3593.4682","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136942.94","136285","2851.965948575953","131675","143479","136152.41537091514","137733.46462908486","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18921.6493","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152967.4","153489.5","5221.255494493207","142921","163112","151520.14181474622","154414.65818525376","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2317.3723","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3593.4682","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136666.3","137046.5","2893.331504317739","130928","145658","135864.30942384587","137468.2905761541","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18921.6493","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153690.78","153080","4742.255974335681","141423","166501","152376.29370783054","155005.26629216946","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1741.2497","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2882.766","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136117.76","135503.5","3183.951924824217","128952","143519","135235.21355317006","137000.30644682996","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18538.0417","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154604.6","154416.5","5397.242795716937","144293","165276","153108.56062361982","156100.6393763802","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1741.2497","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2882.766","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
