"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Enabled","Common","Native","Reference","TestKIR","CILabel","Dedicated","JVM","FlushEarly","Methods","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"158077.86","158259.5","5969.343050067382","147403","175662","156423.24252362686","159732.4774763731","commonmain-plain-jar","1890.9736","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6327.3389","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137865.86","137660","2858.338228583103","132750","149297","137073.5690650125","138658.15093498747","commonmain-plain-linux-exe","16656.0828","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158129.46","158221.5","5418.896130567327","146870","176488","156627.41862541586","159631.50137458413","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2714.6932","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4004.6425","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138108.64","137922.5","2989.0002270911627","131410","143399","137280.13140681866","138937.14859318137","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18790.3102","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155608.34","155716.5","4952.586463451112","145150","164889","154235.55307069415","156981.12692930584","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2714.6932","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4004.6425","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138132.34","138201.5","4013.2748478630015","130615","158643","137019.91696700177","139244.76303299822","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18790.3102","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155665.1","156671","5235.458720131797","145040","167374","154213.90488145806","157116.29511854195","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1752.1747","50","False","500","True","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","False","True","System.Boolean[]","System.String[]","System.Boolean[]","2026-05-09 03:23:29","f3f1027c82dd394f5c5e27a00d3699cf9d73a4dd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","86","0.02","170","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
