"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","FlushEarly","CILabel","InstrumentPropertyAccessors","Dedicated","Reference","Methods","Enabled","JVM","JS","Common","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"152495.16","138111.5","28781.762049390843","134417","237780","144517.26258510823","160473.05741489178","commonmain-plain-jar","3282.0069","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7513.1518","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185875.4","179925.5","14249.141654062918","172124","234009","181925.73944164717","189825.06055835282","commonmain-plain-win-exe","114979.0907","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142590.38","141857.5","3798.6549117243258","136952","157136","141537.4465781926","143643.3134218074","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2460.6906","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3507.7774","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183484.34","183395.5","6023.582728081421","175148","205670","181814.6880519267","185153.9919480733","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","17997.4636","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143902.76","144402.5","5892.879399299962","136275","171368","142269.33716628788","145536.18283371214","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2460.6906","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3507.7774","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182336.98","181750","5534.95554059168","174381","200938","180802.7685982432","183871.19140175683","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","17997.4636","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"147337.42","146950","3056.4930490311135","142222","158385","146490.2033510452","148184.63664895482","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2020.3565","50","False","500","True","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-10 02:11:21","bef6a038221fd418e271bbb1023d8f103e4259b8","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","28.02","High performance","0.25","137","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
