"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Reference","JS","JVM","FlushEarly","TestKIR","CILabel","InstrumentPropertyAccessors","Common","Methods","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156148.52","154498","7121.556672411399","145304","180522","154174.52520185875","158122.51479814123","commonmain-plain-jar","1959.2433","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6453.1227","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137416.34","137074","3199.011917668916","130094","144380","136529.61913612852","138303.06086387148","commonmain-plain-linux-exe","17188.219","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155627.38","154935.5","6746.396770370485","146276","176037","153757.37422127763","157497.38577872238","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2157.8218","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3572.9923","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136832.36","136299.5","2977.3855519394792","131443","145796","136007.07083051855","137657.64916948142","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18199.9973","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155357.42","155467","6100.208855875848","143953","171470","153666.52837293156","157048.31162706847","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2157.8218","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3572.9923","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144679","138822","38812.82788681377","131857","412709","133920.6329920494","155437.3670079506","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18199.9973","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159576.4","160717","5945.158297612728","147264","168616","157928.48619499197","161224.31380500802","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2431.6449","50","False","500","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-05-10 03:35:16","c93f759c540073035ad70f7ef055becb2082845d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","86","0.08","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
