"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","Enabled","InstrumentPropertyAccessors","JS","Reference","Dedicated","TestKIR","JVM","Methods","CILabel","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"211821.56","188175.5","42249.63712253778","182332","356739","200110.5580744892","223532.5619255108","commonmain-plain-jar","4250.5073","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","11350.1548","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227171.3","221734.5","28379.360592565456","218161","421170","219304.9425782694","235037.65742173058","commonmain-plain-win-exe","99653.8399","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187189.38","186708","3600.3282893964783","180979","203592","186191.41991321143","188187.34008678858","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3597.8416","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4448.4614","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221638.58","220586","3320.788061682384","216636","234240","220718.1045111388","222559.05548886117","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24546.9041","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185950","184941","3503.5424580133235","182034","203941","184978.8675769474","186921.1324230526","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3597.8416","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4448.4614","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220939.42","220203","3276.71871143642","217658","237823","220031.15991180818","221847.68008819185","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24546.9041","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186895.76","184480.5","10612.564939461417","180985","255802","183954.10707928552","189837.4129207145","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3313.0312","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4545.6926","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219543.7","218362.5","4334.168904396405","214979","237479","218342.32967254223","220745.0703274578","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20636.0125","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185387","184995.5","2466.1455838648953","181036","193756","184703.4193198283","186070.5806801717","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3313.0312","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4545.6926","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219641.18","217730.5","6957.175971437766","214965","255046","217712.74920753378","221569.6107924662","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20636.0125","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187001.62","185291.5","6350.863264123377","181155","218034","185241.25051566353","188761.98948433646","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5129.5822","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4824.3631","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220204.04","218730","4668.07739106579","215371","232917","218910.11496209612","221497.9650379039","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27958.6982","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185344.62","184831.5","2479.4383324635837","181498","196673","184657.3547578998","186031.8852421002","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5129.5822","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","True","System.String[]","ci-windows-large","True","2026-05-11 02:28:25","d4c4ccc101f44018d23127b9aa7ab6d1c0ddceb9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.89","High performance","0.99","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
