"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Reference","JS","JVM","Enabled","FlushEarly","Dedicated","TestKIR","Native","InstrumentPropertyAccessors","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157828.72","157761","6762.161153878278","141221","173921","155954.34455710565","159703.09544289435","commonmain-plain-jar","1916.9599","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6398.0344","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137810.62","137134","3017.937191770132","133569","149235","136974.09048942965","138647.14951057034","commonmain-plain-linux-exe","17254.1853","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155988.9","155865","6028.413370473703","143326","169852","154317.9090661694","157659.89093383058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2580.8256","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3406.7826","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138484.96","138186","3110.0290435024194","133286","146291","137622.90393047172","139347.01606952827","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38329.3834","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155020.84","155224.5","3769.5286846620234","145771","165657","153975.97995643772","156065.70004356228","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2580.8256","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3406.7826","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139417.02","138579","4946.73350267938","132192","165349","138045.85542864882","140788.18457135116","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38329.3834","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156505.74","155862.5","5881.1640171250565","147692","170612","154875.56450455045","158135.91549544953","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2256.8854","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
