"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","Enabled","Common","CILabel","Methods","InstrumentPropertyAccessors","TestKIR","Reference","JVM","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"177865.7","176202","13003.592310965301","171452","265443","174261.28810527542","181470.1118947246","commonmain-plain-jar","2504.2659","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7767.4117","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229964.9","226634","8764.712515513093","222966","277022","227535.445639291","232394.354360709","commonmain-plain-win-exe","90710.5147","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"175802.48","175980","1626.296358764482","172535","180113","175351.69364806748","176253.26635193254","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3396.2794","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4663.0691","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241832.44","244462.5","11078.771438113487","224817","266179","238761.5612308465","244903.3187691535","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23378.7228","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179039.54","177998","4713.768911975873","173450","204020","177732.94991865905","180346.13008134096","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3396.2794","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4663.0691","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229847.98","227589","7706.996472832001","223550","264650","227711.70956834004","231984.25043165998","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23378.7228","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178459.6","178319.5","2139.9710373779194","174839","184300","177866.4302914275","179052.7697085725","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3340.2592","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
