"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","InstrumentPropertyAccessors","Native","Reference","JVM","JS","Dedicated","Common","CILabel","TestKIR","Enabled","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156753","145934.5","29088.956911585567","131131","277053","148689.95251358842","164816.04748641158","commonmain-plain-jar","1833.4243","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6232.0906","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146099.4","144529","5444.235089917197","138583","163406","144590.33502422195","147608.46497577804","commonmain-plain-linux-exe","16285.6943","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144266.64","143821.5","5519.478194650695","133420","163952","142736.71869966088","145796.56130033915","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2377.2896","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3388.7873","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144842.3","144130.5","5054.791254092395","138875","167743","143441.18334808553","146243.41665191445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35800.1869","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144404.72","143877","4399.2373181296425","136163","153473","143185.31362843822","145624.12637156178","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2377.2896","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3388.7873","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144570.54","144651","3540.099757674311","135762","156542","143589.2744104665","145551.80558953353","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35800.1869","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143549.1","143840.5","4840.236552871678","133544","153645","142207.45487707964","144890.74512292037","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2688.3874","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","False","True","ci-linux-large","System.Boolean[]","System.Boolean[]","System.String[]","2026-05-12 03:33:07","d5af41b53f2ea66e0f587ffdbdad2031a10fb734","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.13","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
