"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","InstrumentPropertyAccessors","TestKIR","Methods","CILabel","Enabled","Native","Dedicated","Common","JVM","JS","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"203670.12","188680.5","38683.32177801208","184325","367790","192947.650253963","214392.589746037","commonmain-plain-jar","2704.7819","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8302.6683","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233401.9","229422.5","25307.432857698917","225134","407554","226387.03750386395","240416.76249613604","commonmain-plain-win-exe","91909.1159","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188672.26","188674.5","2813.229793279589","182696","198514","187892.47248536532","189452.0475146347","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3574.5","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5238.2595","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229469.58","227480.5","11143.68129752535","221827","300932","226380.70913575814","232558.45086424184","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24600.1009","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189899.5","188650.5","4237.095998440442","185113","211612","188725.03690929004","191073.96309070996","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3574.5","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5238.2595","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227218.96","226777","2859.4744983179357","221877","232959","226426.35410711088","228011.5658928891","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24600.1009","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191543.04","189557.5","7971.290090860641","185258","235460","189333.51111500335","193752.56888499667","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4623.9105","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4880.6238","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227030.28","226430","4361.500083827178","221557","244147","225821.3338561154","228239.2261438846","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26758.88","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188641.12","187688","5774.582330121109","184067","225005","187040.48744093374","190241.75255906626","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4623.9105","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4880.6238","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","True","System.Boolean[]","2026-05-13 02:28:56","c5967a84acd5067db523b6c8a09f6e2f08af0063","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.62","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","1.21","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
