"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Native","JVM","Enabled","JS","FlushEarly","Dedicated","Common","CILabel","Methods","InstrumentPropertyAccessors","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"173966.14","173633","6981.8228425311545","161891","190948","172030.8774434172","175901.40255658282","commonmain-plain-jar","2510.3798","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8662.8747","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142512.98","142924.5","3436.409264369553","132710","147559","141560.45594884295","143465.50405115707","commonmain-plain-linux-exe","20331.3857","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171894.74","172282","6561.545437079374","160980","188530","170075.97239674","173713.50760326","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3504.2101","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5423.5229","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141796.82","141640.5","3339.085012700458","135447","155136","140871.27285506797","142722.36714493204","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","25313.2784","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"174158.28","173204.5","6737.932869105438","156332","189958","172290.6202950137","176025.9397049863","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3504.2101","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5423.5229","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143267.88","142933","4308.066831194801","136373","160941","142073.74479810408","144462.01520189593","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","25313.2784","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"173190.66","173890.5","5762.229778904861","160160","184927","171593.4513934439","174787.86860655612","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2628.1401","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
