"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","TestKIR","JS","Native","Dedicated","Common","Enabled","CILabel","JVM","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"185893.24","185137","4701.654153376149","180756","210196","184590.0079584187","187196.4720415813","commonmain-plain-jar","3023.0589","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8050.6932","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236694.22","239085.5","7635.451387402565","218799","248052","234577.78085424658","238810.65914575342","commonmain-plain-win-exe","89823.2747","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187257.44","186739.5","3969.423117290676","182916","207354","186157.17204657514","188357.70795342486","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3390.5016","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5061.6596","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219242.42","218242","3546.077678454414","215337","237601","218259.49741536466","220225.34258463536","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22539.8458","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186945.22","185197","5069.191475562781","181564","208317","185540.11181033863","188350.32818966138","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3390.5016","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5061.6596","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218830.88","218069","2493.470662448186","216430","228060","218139.72519447014","219522.03480552987","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22539.8458","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185643.6","185340.5","1873.6916850464606","182244","190049","185124.23916223113","186162.9608377689","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5460.4539","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","True","True","False","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","2026-05-14 02:30:43","acb1f5ba3f691c626429ae4786f4e87c9b50b149","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.09","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.67","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
