"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Native","Methods","FlushEarly","JVM","Enabled","Reference","Common","TestKIR","Dedicated","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156705.04","156639","6292.58847475767","146144","175628","154960.82346316677","158449.25653683324","commonmain-plain-jar","1896.146","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5978.9428","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138055.3","137303.5","2894.418698467935","132728","144301","137253.0080690023","138857.59193099767","commonmain-plain-linux-exe","17161.4674","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156116.1","155621","5373.425294722091","146172","173408","154626.66249807386","157605.53750192616","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2920.0906","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3858.3626","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137860.46","138118.5","2433.8154996060093","130798","143092","137185.84076198007","138535.0792380199","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20098.0765","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154932.36","155544.5","5908.462543069654","142685","170546","153294.61773920822","156570.10226079175","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2920.0906","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3858.3626","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137401.7","137215","2987.2555437513997","131067","146512","136573.6750083675","138229.7249916325","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20098.0765","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155485.92","155548","4899.544243027892","143005","170474","154127.83562408434","156844.00437591568","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1824.794","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
