"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","FlushEarly","CILabel","Dedicated","Reference","Enabled","JVM","TestKIR","Native","Common","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"266411.3","271753","38946.39436102512","182820","398395","255615.910254265","277206.68974573497","commonmain-plain-jar","2749.3658","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8595.7647","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221326.92","219876","5897.053144528016","217151","248153","219692.34026313483","222961.4997368652","commonmain-plain-win-exe","98055.959","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187921.86","186015.5","7259.273255945791","182194","223773","185909.69211245995","189934.02788754003","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3294.1827","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4930.5259","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223071.9","219081.5","24385.77971390503","215903","390839","216312.50672151236","229831.29327848763","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22850.3608","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186099.98","185467","3131.3281689456717","181329","201909","185232.0201141063","186967.93988589372","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3294.1827","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4930.5259","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219588.34","218504","3418.998138314193","216223","234030","218640.64206676127","220536.03793323872","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22850.3608","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185430.76","184828.5","2950.111707051384","180566","200102","184613.03075462097","186248.48924537905","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6074.0652","50","False","500","System.String[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","2026-05-15 02:29:38","5496e525529769304943a8bffe40ee305e8bad14","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.61","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
