"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","Common","FlushEarly","Enabled","CILabel","Reference","JVM","TestKIR","InstrumentPropertyAccessors","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157240.22","155838","11780.501890299363","147471","232017","153974.83147321464","160505.60852678536","commonmain-plain-jar","1906.4304","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6208.0194","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138445.5","137826.5","5141.511150251768","132232","164106","137020.3458192434","139870.6541807566","commonmain-plain-linux-exe","17137.2941","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155277.26","154799.5","5560.993556837095","144107","168246","153735.8312283637","156818.6887716363","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2574.9196","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3664.7924","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137990.38","137676.5","3574.1441098477253","132000","150490","136999.67779749157","138981.08220250843","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36564.1999","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154496.22","154994","4575.910496172274","145272","163836","153227.8423219571","155764.5976780429","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2574.9196","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3664.7924","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137960.7","137831","3316.5281837906264","131526","147767","137041.40528904818","138879.99471095184","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36564.1999","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155088.24","154382","6193.516368142493","144355","167850","153371.48485006506","156804.99514993493","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2808.1678","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3680.5329","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
