"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","JVM","Reference","InstrumentPropertyAccessors","Native","CILabel","TestKIR","Dedicated","Methods","JS","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"214774.98","213457","7830.44755019319","206173","242755","212604.49067551288","216945.46932448715","commonmain-plain-jar","3547.4995","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10960.8663","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246460.02","242348.5","12125.349621704581","227747","290177","243099.04455882809","249820.9954411719","commonmain-plain-win-exe","115158.4879","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215685.26","213597","10028.535286483511","207130","277839","212905.49183987512","218465.0281601249","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3786.2112","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6096.8487","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249784.66","247007.5","12974.930151375043","228463","298007","246188.19285058003","253381.12714941998","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37749.099","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228625.32","224009","16723.555146937302","206258","276315","223989.78701402096","233260.85298597906","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3786.2112","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6096.8487","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"280692.9","284038","21137.98707352259","232614","318889","274833.748911874","286552.051088126","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37749.099","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216119.16","214877","5916.118209413594","208673","244333","214479.2956967624","217759.02430323762","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2457.9376","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
