"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JVM","Common","Enabled","TestKIR","FlushEarly","CILabel","Reference","InstrumentPropertyAccessors","Methods","JS","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"158831.8","149666.5","27676.179496278095","136403","291219","151160.3544339315","166503.24556606848","commonmain-plain-jar","1938.9958","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6030.4592","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144598.5","143096","5665.646178720392","138152","172211","143028.0630015515","146168.9369984485","commonmain-plain-linux-exe","15828.9618","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146243.66","146350","4097.754465259116","134118","155937","145107.8204117513","147379.4995882487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2415.7583","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4097.942","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142538.82","142148.5","3819.2053062149466","137222","156395","141480.19029945886","143597.44970054115","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36937.2597","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144166.46","143976.5","3961.53342404124","136301","154634","143068.3789579696","145264.54104203038","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2415.7583","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4097.942","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142159.88","142415.5","3103.358053753372","136990","153406","141299.67303449052","143020.0869655095","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36937.2597","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146369.72","144956","7986.5802674849265","137766","190514","144155.95289427333","148583.48710572667","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2178.6405","50","False","500","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.String[]","True","False","2026-05-17 03:42:25","7062bb9ac8d81ca4bfde330e957186c4472fc3e5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","86","0.02","168","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
