"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Enabled","InstrumentPropertyAccessors","CILabel","Dedicated","JS","FlushEarly","Native","Methods","JVM","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"179268.7","199585.5","31474.244492561706","134917","219970","170544.48452834183","187992.9154716582","commonmain-plain-jar","2065.8652","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6703.5009","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176255.16","175108.5","3453.2518147865394","172222","189624","175297.9674320509","177212.3525679491","commonmain-plain-win-exe","95651.0694","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137706.04","137600","1896.530742041954","134323","143725","137180.34849861678","138231.73150138324","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2708.2586","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3785.2433","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177393.4","176333.5","4021.7262056820064","172801","191335","176278.63437013153","178508.16562986845","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","19298.3565","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137977.68","137371.5","3424.307053035605","133783","151661","137028.51051067797","138926.84948932202","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2708.2586","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3785.2433","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177599.1","176355.5","4778.251670916073","171286","199211","176274.63620978149","178923.56379021853","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","19298.3565","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137511.6","137360","1604.483717586439","134358","141940","137066.85980373257","137956.34019626744","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3396.3834","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
