"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","FlushEarly","Enabled","InstrumentPropertyAccessors","JVM","TestKIR","Reference","Dedicated","CILabel","Native","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"161148.28","158972.5","18597.429096012827","147706","283602","155993.33565524075","166303.22434475925","commonmain-plain-jar","2075.3337","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6221.1699","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136446.42","136160.5","2586.9895678339394","131007","143061","135729.3430764205","137163.4969235795","commonmain-plain-linux-exe","17977.6986","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157354.58","157523.5","4896.763975550068","148051","169329","155997.26627491126","158711.8937250887","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2624.2765","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3911.7766","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137292.16","136450","4819.618197089297","132422","160652","135956.22999372237","138628.09000627763","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","22773.4648","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157416.12","156603","5587.566812420708","146752","172787","155867.32549770892","158964.91450229107","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2624.2765","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3911.7766","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135999.88","135644.5","2968.9637417105378","131699","147337","135176.9252372147","136822.83476278532","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","22773.4648","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156173.02","155564","4234.7288927994205","148124","164880","154999.21303749864","157346.82696250133","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1847.2863","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3137.6306","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136688.12","136046","3533.208177580604","132622","154336","135708.7646590093","137667.4753409907","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18523.8623","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157240.5","158415.5","4354.543366252245","148074","165287","156033.48215984684","158447.51784015316","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1847.2863","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3137.6306","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135703.26","135375.5","2536.9973559469136","131484","141662","135000.040210577","136406.47978942303","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18523.8623","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157148.36","157328","4673.34315400678","146998","170153","155852.97536707608","158443.7446329239","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2067.034","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3378.9358","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135543.34","135726.5","2088.840178233864","131696","140130","134964.3430425011","136122.3369574989","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15464.2458","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156366.74","155557","4160.126591529521","146635","166803","155213.6117404017","157519.86825959827","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2067.034","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3378.9358","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136368.48","135638","3992.4374389179184","131981","157150","135261.83280208343","137475.1271979166","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15464.2458","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156336.2","156467","5225.6520069709195","143708","166915","154887.72316366193","157784.6768363381","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1300.4143","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2492.8788","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136129.04","134647.5","4817.540730730246","130924","165069","134793.68583801805","137464.39416198197","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14148.0728","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156987.02","156812","4758.038386279174","145852","166640","155668.1590464311","158305.88095356888","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1300.4143","50","False","500","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","False","ci-linux-large","True","System.String[]","True","2026-05-18 03:57:15","9aa21594667f50c1328618f77c50fd187d206f5d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","86","0.02","194","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
